(suap) imac-ifrn-misael:suap misaelbarreto$ python manage.py curso_campus_definir_fec;;;;;;;
;;;;;;;
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ;;;;;;;
Curso Campus - Planilha para Definir FEC (Fator de Esforço do Curso) Em Lote;;;;;;;
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ;;;;;;;
Início do processamento: 07/03/2017 - 16:01:42;;;;;;;
;;;;;;;

Id;Descrição;Modalidade;Natureza;Ano Letivo;Período Letivo;FEC;Ativo

{{BEGIN}}
700; FIC+ Aquicultor [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
828; FIC+ Operador de Computadores [PRONATEC];FIC;Presencial;2014;2;1.00;SIM
544;Aperfeiçoamento de Gestão em EaD [2012] - Câmpus EAD (UAB);Aperfeiçoamento;----;----;----;1.00;NAO
858;Aperfeiçoamento em Educação Profissional Integrada à Educação Básica na Modalidade de Educação de Jovens e Adultos - PROEJA (UAB);Aperfeiçoamento;EaD;2015;1;1.00;SIM
296;Aperfeiçoamento em Gestão da Educação Profissional e Tecnológica [2011];Aperfeiçoamento;----;----;----;1.00;NAO
259;Aperfeiçoamento para Professores dos Municípios do Rio Grande do Norte: Língua Portuguesa, Matemática e Cidadania EaD (2009) - Campus EaD (UAB);Aperfeiçoamento;EaD;2009;1;1.00;SIM
254;Auxiliar Tecnico em Operacao de Computadores PROEJA FIC Fundamental  - Campus Currais Novos;Proeja FIC Fundamental;----;----;----;1.00;NAO
253;Auxiliar Técnico em Fruticultura Irrigada PROEJA FIC Fundamental  - Campus Ipanguaçu;Proeja FIC Fundamental;----;----;----;1.00;NAO
257;Auxiliar Técnico em Instalações Prediais PROEJA FIC Fundamental  - Campus Mossoró;Proeja FIC Fundamental;----;----;----;1.00;NAO
255;Auxiliar Técnico em Manutenção de Computadores PROEJA FIC Fundamental  - Campus Mossoró;Proeja FIC Fundamental;----;----;----;1.00;NAO
256;Auxiliar Técnico em Mecânico Montador PROEJA FIC Fundamental  - Campus Mossoró;Proeja FIC Fundamental;----;----;----;1.00;NAO
765;Auxiliar Técnico em Operação de Computadores PROEJA FIC Fundamental;Proeja FIC Fundamental;Presencial;2014;1;1.00;NAO
291;Auxiliar Técnico em Organização de Eventos Comunitários PROEJA FIC Fundamental - Campus Cidade Alta;Proeja FIC Fundamental;----;----;----;1.00;NAO
279;Certificação ENEM - Campus Apodi;----;----;----;----;1.00;NAO
272;Certificação ENEM - Campus Caicó;----;----;----;----;1.00;NAO
282;Certificação ENEM - Campus Cidade Alta;----;----;----;----;1.00;NAO
271;Certificação ENEM - Campus Currais Novos;----;----;----;----;1.00;NAO
276;Certificação ENEM - Campus Ipanguaçu;----;----;----;----;1.00;NAO
277;Certificação ENEM - Campus João Camara;----;----;----;----;1.00;NAO
278;Certificação ENEM - Campus Macau;----;----;----;----;1.00;NAO
274;Certificação ENEM - Campus Mossoró;----;----;----;----;1.00;NAO
273;Certificação ENEM - Campus Natal Central;----;----;----;----;1.00;NAO
283;Certificação ENEM - Campus Nova Cruz;----;----;----;----;1.00;NAO
284;Certificação ENEM - Campus Parnamirim;----;----;----;----;1.00;NAO
280;Certificação ENEM - Campus Pau dos Ferros;----;----;----;----;1.00;NAO
281;Certificação ENEM - Campus Santa Cruz;----;----;----;----;1.00;NAO
275;Certificação ENEM - Campus Zona Norte;----;----;----;----;1.00;NAO
326;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
338;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
336;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
334;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
333;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
330;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
329;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
647;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
328;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
327;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
322;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
324;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
325;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
323;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
649;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
332;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
339;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
331;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
335;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
648;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
337;Curso Certificador do ENEM;----;----;----;----;1.00;NAO
965;Curso de Formação Inicial e Continuada ou Qualificação Profissional em Vendedor [Mulheres Mil];FIC;Presencial;2016;2;1.00;SIM
913;Engenharia de Energia [2016] - Campus Natal - Central;Engenharia;Presencial;2015;2;1.20;SIM
140;Ensino Médio - Campus Mossoró;----;----;----;----;1.00;NAO
1;Ensino Médio - Campus Natal-Central;----;----;----;----;1.00;NAO
890;Especialização Educação de Jovens e Adultos no Contexto da Diversidade;Especialização;Presencial;2015;2;1.00;SIM
246;Especialização em Educação Ambiental e Geografia do Semi-Árido (2010) - Campus Macau;Especialização;----;----;----;1.00;NAO
262;Especialização em Educação Ambiental e Geografia do Semi-Árido (2010) - Campus Pau dos Ferros;Especialização;----;----;----;1.00;NAO
247;Especialização em Educação Ambiental e Geografia do Semi-Árido (2010) - Campus Santa Cruz;Especialização;----;----;----;1.00;NAO
293;Especialização em Educação Ambiental e Geografia do Semi-Árido (2011) - Campus João Camara;Especialização;----;----;----;1.00;NAO
211;Especialização em Educação Ambiental e Geografia do Semi-Árido EaD (2009) - Campus EaD (UAB);Especialização;----;----;----;1.00;NAO
485;Especialização em Educação Ambiental e Geografia do Semi-árido EaD [2012] (UAB);Especialização;EaD;2012;1;1.00;SIM
248;Especialização em Educação Profissional Integrada à Educação Básica na Modalidade Educação de Jovens (2010) - Campus  Apodi;Especialização;----;----;----;1.00;NAO
249;Especialização em Educação Profissional Integrada à Educação Básica na Modalidade Educação de Jovens (2010) - Campus Macau;Especialização;----;----;----;1.00;NAO
250;Especialização em Educação Profissional Integrada à Educação Básica na Modalidade Educação de Jovens (2010) - Campus Pau dos Ferros;Especialização;----;----;----;1.00;NAO
84;Especialização em Educação Profissional Integrada à Educação Básica na Modalidade Educação de Jovens e Adultos [2006] - Campus Natal Central;Especialização;----;----;----;1.00;NAO
123;Especialização em Educação Profissional Integrada à Educação Básica na Modalidade Educação de Jovens e Adultos [2008] - Campus;Especialização;----;----;----;1.00;NAO
859;Especialização em Educação Profissional Integrada à Educação Básica na Modalidade de Educação de Jovens e Adultos - PROEJA (UAB);Especialização;EaD;2015;1;1.00;SIM
151;Especialização em Educação Profissional [2006] - Campus Mossoró;Especialização;----;----;----;1.00;NAO
85;Especialização em Educação Profissional e Tecnológica [2006] - Campus Natal-Central;Especialização;----;----;----;1.00;NAO
819;Especialização em Educação do Campo - Saberes da Terra [2014];Especialização;Presencial;2014;2;1.00;SIM
824;Especialização em Educação do Campo - Saberes da Terra [2014];Especialização;Presencial;2014;2;1.00;SIM
826;Especialização em Educação do Campo - Saberes da Terra [2014]  - Campus Pau dos Ferros;Especialização;Presencial;2014;2;1.00;SIM
551;Especialização em Educação e Contemporaneidade (2015) - Campus Mossoró;Especialização;Presencial;2013;1;1.00;SIM
212;Especialização em Ensino da Língua Portuguesa e Matemática Numa Abordagem Transdisciplinar EaD (2009) - Campus EaD (UAB);Especialização;----;----;----;1.00;NAO
487;Especialização em Ensino da Língua Portuguesa e Matemática em uma Perspectiva Transdisciplinar (2012] - Câmpus EaD (UAB);Especialização;EaD;2012;2;1.00;SIM
947;Especialização em Ensino de Ciências Naturais e Matemática, na modalidade semipresencial - Campus Currais Novos;Especialização;Semipresencial;2016;1;1.00;SIM
873;Especialização em Ensino de Ciências Naturais e Matemática, na modalidade semipresencial - Campus Macau;Especialização;Semipresencial;2015;1;1.00;SIM
872;Especialização em Ensino de Ciências Naturais e Matemática, na modalidade semipresencial - Campus Parnamirim;Especialização;Semipresencial;2015;1;1.00;SIM
773;Especialização em Ensino de Matemática para o Ensino Médio (UAB);Especialização;Presencial;2014;1;1.00;SIM
120;Especialização em Gestão Ambiental (2012)  - Campus Natal-Central;Especialização;Presencial;2009;2;1.00;SIM
577;Especialização em Gestão Pública EaD [2013] (UAB);Especialização;EaD;2013;1;1.00;SIM
875;Especialização em Gestão de Programas e Projetos de Esporte e de Lazer na Escola (2012) - Campus Cidade Alta;Especialização;Presencial;2015;2;1.00;SIM
115;Especialização em Licenciamento Ambiental em Petróleo e Gás On Shore [2008] - Campus Natal-Central;Especialização;----;----;----;1.00;NAO
213;Especialização em Literatura e Ensino EaD (2009) - Campus EaD (UAB);Especialização;----;----;----;1.00;NAO
486;Especialização em Literatura e Ensino EaD [2012] (UAB);Especialização;EaD;2012;1;1.00;SIM
290;Especialização em Organização e Gestão Escolar para a Educação do Campo e EJA [2011] - Campus João Camara;Especialização;----;----;----;1.00;NAO
905;FIC + Agricultor Orgânico - 2015 [ PRONATEC];FIC;Presencial;2015;2;1.00;SIM
923;FIC + em Agricultor Orgânico - 2015 [ PRONATEC];FIC;Presencial;2015;2;1.00;SIM
906;FIC + em Agricultor Orgânico - 2015 [ PRONATEC];FIC;Presencial;2015;2;1.00;SIM
